;^FTSE;^GSPC
01/06/2021;7080.5;4202.0400390625
02/06/2021;7108.0;4208.1201171875
03/06/2021;7064.39990234375;4192.85009765625
04/06/2021;7069.0;4229.89013671875
07/06/2021;7077.2001953125;4226.52001953125
08/06/2021;7095.10009765625;4227.259765625
09/06/2021;7081.0;4219.5498046875
10/06/2021;7088.2001953125;4239.18017578125
11/06/2021;7134.10009765625;4247.43994140625
14/06/2021;7146.7001953125;4255.14990234375
15/06/2021;7172.5;4246.58984375
16/06/2021;7185.0;4223.7001953125
17/06/2021;7153.39990234375;4221.85986328125
18/06/2021;7017.5;4166.4501953125
21/06/2021;7062.2998046875;4224.7900390625
22/06/2021;7090.0;4246.43994140625
23/06/2021;7074.10009765625;4241.83984375
24/06/2021;7110.0;4266.490234375
25/06/2021;7136.10009765625;4280.7001953125
28/06/2021;7073.0;4290.60986328125
29/06/2021;7087.60009765625;4291.7998046875
30/06/2021;7037.5;4297.5
01/07/2021;7125.2001953125;4319.93994140625
02/07/2021;7123.2998046875;4352.33984375
05/07/2021;7164.89990234375;
06/07/2021;7100.89990234375;4343.5400390625
07/07/2021;7151.0;4358.1298828125
08/07/2021;7030.7001953125;4320.81982421875
09/07/2021;7121.89990234375;4369.5498046875
12/07/2021;7125.39990234375;4384.6298828125
13/07/2021;7124.7001953125;4369.2099609375
14/07/2021;7091.2001953125;4374.2998046875
15/07/2021;7012.0;4360.02978515625
16/07/2021;7008.10009765625;4327.16015625
19/07/2021;6844.39990234375;4258.490234375
20/07/2021;6881.10009765625;4323.06005859375
21/07/2021;6998.2998046875;4358.68994140625
22/07/2021;6968.2998046875;4367.47998046875
23/07/2021;7027.60009765625;4411.7900390625
26/07/2021;7025.39990234375;4422.2998046875
27/07/2021;6996.10009765625;4401.4599609375
28/07/2021;7016.60009765625;4400.64013671875
29/07/2021;7078.39990234375;4419.14990234375
30/07/2021;7032.2998046875;4395.259765625
02/08/2021;7081.7001953125;4387.16015625
03/08/2021;7105.7001953125;4423.14990234375
04/08/2021;7123.89990234375;4402.66015625
05/08/2021;7120.39990234375;4429.10009765625
06/08/2021;7123.0;4436.52001953125
09/08/2021;7132.2998046875;4432.35009765625
10/08/2021;7161.0;4436.75
11/08/2021;7220.10009765625;4442.41015625
12/08/2021;7193.2001953125;4460.830078125
13/08/2021;7218.7001953125;4468.0
16/08/2021;7154.0;4479.7099609375
17/08/2021;7181.10009765625;4448.080078125
18/08/2021;7169.2998046875;4400.27001953125
19/08/2021;7058.89990234375;4405.7998046875
20/08/2021;7087.89990234375;4441.669921875
23/08/2021;7109.0;4479.52978515625
24/08/2021;7125.7998046875;4486.22998046875
25/08/2021;7150.10009765625;4496.18994140625
26/08/2021;7125.0;4470.0
27/08/2021;7148.0;4509.3701171875
30/08/2021;;4528.7900390625
31/08/2021;7119.7001953125;4522.68017578125
01/09/2021;7149.7998046875;4524.08984375
02/09/2021;7163.89990234375;4536.9501953125
03/09/2021;7138.39990234375;4535.43017578125
06/09/2021;7187.2001953125;
07/09/2021;7149.39990234375;4520.02978515625
08/09/2021;7095.5;4514.06982421875
09/09/2021;7024.2001953125;4493.27978515625
10/09/2021;7029.2001953125;4458.580078125
13/09/2021;7068.39990234375;4468.72998046875
14/09/2021;7034.10009765625;4443.0498046875
15/09/2021;7016.5;4480.7001953125
16/09/2021;7027.5;4473.75
17/09/2021;6963.60009765625;4432.990234375
20/09/2021;6903.89990234375;4357.72998046875
21/09/2021;6981.0;4354.18994140625
22/09/2021;7083.39990234375;4395.64013671875
23/09/2021;7078.39990234375;4448.97998046875
24/09/2021;7051.5;4455.47998046875
27/09/2021;7063.39990234375;4443.10986328125
28/09/2021;7028.10009765625;4352.6298828125
29/09/2021;7108.2001953125;4359.4599609375
30/09/2021;7086.39990234375;4307.5400390625
01/10/2021;7027.10009765625;4357.0400390625
04/10/2021;7011.0;4300.4599609375
05/10/2021;7077.10009765625;4345.72021484375
06/10/2021;6995.89990234375;4363.5498046875
07/10/2021;7078.0;4399.759765625
08/10/2021;7095.60009765625;4391.33984375
11/10/2021;7146.89990234375;4361.18994140625
12/10/2021;7130.2001953125;4350.64990234375
13/10/2021;7141.7998046875;4363.7998046875
14/10/2021;7207.7001953125;4438.259765625
15/10/2021;7234.0;4471.3701171875
18/10/2021;7203.7998046875;4486.4599609375
19/10/2021;7217.5;4519.6298828125
20/10/2021;7223.10009765625;4536.18994140625
21/10/2021;7190.2998046875;4549.77978515625
22/10/2021;7204.60009765625;4544.89990234375
25/10/2021;7222.7998046875;4566.47998046875
26/10/2021;7277.60009765625;4574.7900390625
27/10/2021;7253.2998046875;4551.68017578125
28/10/2021;7249.5;4596.419921875
29/10/2021;7237.60009765625;4605.3798828125
01/11/2021;7288.60009765625;4613.669921875
02/11/2021;7274.7998046875;4630.64990234375
03/11/2021;7248.89990234375;4660.56982421875
04/11/2021;7279.89990234375;4680.06005859375
05/11/2021;7304.0;4697.52978515625
08/11/2021;7300.39990234375;4701.7001953125
09/11/2021;7274.0;4685.25
10/11/2021;7340.2001953125;4646.7099609375
11/11/2021;7384.2001953125;4649.27001953125
12/11/2021;7347.89990234375;4682.85009765625
15/11/2021;7351.89990234375;4682.7998046875
16/11/2021;7327.0;4700.89990234375
17/11/2021;7291.2001953125;4688.669921875
18/11/2021;7256.0;4704.5400390625
19/11/2021;7223.60009765625;4697.9599609375
22/11/2021;7255.5;4682.93994140625
23/11/2021;7266.7001953125;4690.7001953125
24/11/2021;7286.2998046875;4701.4599609375
25/11/2021;7310.39990234375;
26/11/2021;7044.0;4594.6201171875
29/11/2021;7110.0;4655.27001953125
30/11/2021;7059.5;4567.0
01/12/2021;7168.7001953125;4513.0400390625
02/12/2021;7129.2001953125;4577.10009765625
03/12/2021;7122.2998046875;4538.43017578125
06/12/2021;7232.2998046875;4591.669921875
07/12/2021;7339.89990234375;4686.75
08/12/2021;7337.39990234375;4701.2099609375
09/12/2021;7321.2998046875;4667.4501953125
10/12/2021;7291.7998046875;4712.02001953125
13/12/2021;7231.39990234375;4668.97021484375
14/12/2021;7218.60009765625;4634.08984375
15/12/2021;7170.7998046875;4709.85009765625
16/12/2021;7260.60009765625;4668.669921875
17/12/2021;7269.89990234375;4620.64013671875
20/12/2021;7198.0;4568.02001953125
21/12/2021;7297.39990234375;4649.22998046875
22/12/2021;7341.7001953125;4696.56005859375
23/12/2021;7373.2998046875;4725.7900390625
24/12/2021;7372.10009765625;
27/12/2021;;4791.18994140625
28/12/2021;;4786.35009765625
29/12/2021;7420.7001953125;4793.06005859375
30/12/2021;7403.0;4778.72998046875
31/12/2021;7384.5;4766.18017578125
03/01/2022;;4796.56005859375
04/01/2022;7505.2001953125;4793.5400390625
05/01/2022;7516.89990234375;4700.580078125
06/01/2022;7450.39990234375;4696.0498046875
07/01/2022;7485.2998046875;4677.02978515625
10/01/2022;7445.2998046875;4670.2900390625
11/01/2022;7491.39990234375;4713.06982421875
12/01/2022;7551.7001953125;4726.35009765625
13/01/2022;7563.89990234375;4659.02978515625
14/01/2022;7543.0;4662.85009765625
17/01/2022;7611.2001953125;
18/01/2022;7563.60009765625;4577.10986328125
19/01/2022;7589.7001953125;4532.759765625
20/01/2022;7585.0;4482.72998046875
21/01/2022;7494.10009765625;4397.93994140625
24/01/2022;7297.2001953125;4410.1298828125
25/01/2022;7371.5;4356.4501953125
26/01/2022;7469.7998046875;4349.93017578125
27/01/2022;7554.2998046875;4326.509765625
28/01/2022;7466.10009765625;4431.85009765625
31/01/2022;7464.39990234375;4515.5498046875
01/02/2022;7535.7998046875;4546.5400390625
02/02/2022;7583.0;4589.3798828125
03/02/2022;7528.7998046875;4477.43994140625
04/02/2022;7516.39990234375;4500.52978515625
07/02/2022;7573.5;4483.8701171875
08/02/2022;7567.10009765625;4521.5400390625
09/02/2022;7643.39990234375;4587.18017578125
10/02/2022;7672.39990234375;4504.080078125
11/02/2022;7661.0;4418.64013671875
14/02/2022;7531.60009765625;4401.669921875
15/02/2022;7608.89990234375;4471.06982421875
16/02/2022;7603.7998046875;4475.009765625
17/02/2022;7537.39990234375;4380.259765625
18/02/2022;7513.60009765625;4348.8701171875
21/02/2022;7484.2998046875;
22/02/2022;7494.2001953125;4304.759765625
23/02/2022;7498.2001953125;4225.5
24/02/2022;7207.0;4288.7001953125
25/02/2022;7489.5;4384.64990234375
28/02/2022;7458.2998046875;4373.93994140625
01/03/2022;7330.2001953125;4306.259765625
02/03/2022;7429.60009765625;4386.5400390625
03/03/2022;7238.89990234375;4363.490234375
04/03/2022;6987.10009765625;4328.8701171875
07/03/2022;6959.5;4201.08984375
08/03/2022;6964.10009765625;4170.7001953125
09/03/2022;7190.7001953125;4277.8798828125
10/03/2022;7099.10009765625;4259.52001953125
11/03/2022;7155.60009765625;4204.31005859375
14/03/2022;7193.5;4173.10986328125
15/03/2022;7175.7001953125;4262.4501953125
16/03/2022;7291.7001953125;4357.85986328125
17/03/2022;7385.2998046875;4411.669921875
18/03/2022;7404.7001953125;4463.1201171875
21/03/2022;7442.39990234375;4461.18017578125
22/03/2022;7476.7001953125;4511.60986328125
23/03/2022;7460.60009765625;4456.240234375
24/03/2022;7467.39990234375;4520.16015625
25/03/2022;7483.39990234375;4543.06005859375
28/03/2022;7473.10009765625;4575.52001953125
29/03/2022;7537.2998046875;4631.60009765625
30/03/2022;7578.7998046875;4602.4501953125
31/03/2022;7515.7001953125;4530.41015625
01/04/2022;7537.89990234375;4545.85986328125
04/04/2022;7558.89990234375;4582.64013671875
05/04/2022;7613.7001953125;4525.1201171875
06/04/2022;7587.7001953125;4481.14990234375
07/04/2022;7551.7998046875;4500.2099609375
08/04/2022;7669.60009765625;4488.27978515625
11/04/2022;7618.2998046875;4412.52978515625
12/04/2022;7576.7001953125;4397.4501953125
13/04/2022;7580.7998046875;4446.58984375
14/04/2022;7616.39990234375;4392.58984375
18/04/2022;;4391.68994140625
19/04/2022;7601.2998046875;4462.2099609375
20/04/2022;7629.2001953125;4459.4501953125
21/04/2022;7628.0;4393.66015625
22/04/2022;7521.7001953125;4271.77978515625
25/04/2022;7380.5;4296.1201171875
26/04/2022;7386.2001953125;4175.2001953125
27/04/2022;7425.60009765625;4183.9599609375
28/04/2022;7509.2001953125;4287.5
29/04/2022;7544.60009765625;4131.93017578125
02/05/2022;;4155.3798828125
03/05/2022;7561.2998046875;4175.47998046875
04/05/2022;7493.5;4300.169921875
05/05/2022;7503.2998046875;4146.8701171875
06/05/2022;7387.89990234375;4123.33984375
09/05/2022;7216.60009765625;3991.239990234375
10/05/2022;7243.2001953125;4001.050048828125
11/05/2022;7347.7001953125;3935.179931640625
12/05/2022;7233.2998046875;3930.080078125
13/05/2022;7418.2001953125;4023.889892578125
16/05/2022;7464.7998046875;4008.010009765625
17/05/2022;7518.39990234375;4088.85009765625
18/05/2022;7438.10009765625;3923.679931640625
19/05/2022;7302.7001953125;3900.7900390625
20/05/2022;7390.0;3901.360107421875
23/05/2022;7513.39990234375;3973.75
24/05/2022;7484.39990234375;3941.47998046875
25/05/2022;7522.7998046875;3978.72998046875
26/05/2022;7564.89990234375;4057.840087890625
27/05/2022;7585.5;4158.240234375
30/05/2022;7600.10009765625;
31/05/2022;7607.7001953125;4132.14990234375
01/06/2022;7533.0;4101.22998046875
